Finite Time (ns): ,6910,,Fuzzy Time (ns): ,528526
Finite Time (ns): ,902,,Fuzzy Time (ns): ,454910
Finite Time (ns): ,1202,,Fuzzy Time (ns): ,719924
Finite Time (ns): ,300,,Fuzzy Time (ns): ,505990
Finite Time (ns): ,601,,Fuzzy Time (ns): ,547455
Finite Time (ns): ,601,,Fuzzy Time (ns): ,871661
Finite Time (ns): ,601,,Fuzzy Time (ns): ,771605
Finite Time (ns): ,1202,,Fuzzy Time (ns): ,1109633
Finite Time (ns): ,1202,,Fuzzy Time (ns): ,797445
Finite Time (ns): ,902,,Fuzzy Time (ns): ,937463
Finite Time (ns): ,601,,Fuzzy Time (ns): ,519211
Finite Time (ns): ,601,,Fuzzy Time (ns): ,816374
Finite Time (ns): ,601,,Fuzzy Time (ns): ,485859
Finite Time (ns): ,601,,Fuzzy Time (ns): ,589821
Finite Time (ns): ,3605,,Fuzzy Time (ns): ,2954213
Finite Time (ns): ,2104,,Fuzzy Time (ns): ,1932618
Finite Time (ns): ,901,,Fuzzy Time (ns): ,775211
Finite Time (ns): ,601,,Fuzzy Time (ns): ,649915
Finite Time (ns): ,601,,Fuzzy Time (ns): ,728638
Finite Time (ns): ,601,,Fuzzy Time (ns): ,631887
Finite Time (ns): ,601,,Fuzzy Time (ns): ,510798
Finite Time (ns): ,16526,,Fuzzy Time (ns): ,776713
Finite Time (ns): ,601,,Fuzzy Time (ns): ,558272
Finite Time (ns): ,601,,Fuzzy Time (ns): ,622872
Finite Time (ns): ,15925,,Fuzzy Time (ns): ,548056
Finite Time (ns): ,601,,Fuzzy Time (ns): ,630685
Finite Time (ns): ,301,,Fuzzy Time (ns): ,590422
Finite Time (ns): ,601,,Fuzzy Time (ns): ,479850
Finite Time (ns): ,300,,Fuzzy Time (ns): ,661934
Finite Time (ns): ,300,,Fuzzy Time (ns): ,582910
Finite Time (ns): ,301,,Fuzzy Time (ns): ,344038
Finite Time (ns): ,301,,Fuzzy Time (ns): ,309183
Finite Time (ns): ,902,,Fuzzy Time (ns): ,752075
Finite Time (ns): ,902,,Fuzzy Time (ns): ,416751
Finite Time (ns): ,601,,Fuzzy Time (ns): ,330817
Finite Time (ns): ,901,,Fuzzy Time (ns): ,386403
Finite Time (ns): ,301,,Fuzzy Time (ns): ,414347
Finite Time (ns): ,601,,Fuzzy Time (ns): ,676356
Finite Time (ns): ,601,,Fuzzy Time (ns): ,297765
Finite Time (ns): ,601,,Fuzzy Time (ns): ,388507
Finite Time (ns): ,901,,Fuzzy Time (ns): ,278234
Finite Time (ns): ,301,,Fuzzy Time (ns): ,349446
Finite Time (ns): ,601,,Fuzzy Time (ns): ,411944
Finite Time (ns): ,300,,Fuzzy Time (ns): ,347642
Finite Time (ns): ,601,,Fuzzy Time (ns): ,360563
Finite Time (ns): ,301,,Fuzzy Time (ns): ,356957
Finite Time (ns): ,300,,Fuzzy Time (ns): ,339230
Finite Time (ns): ,902,,Fuzzy Time (ns): ,495473
Finite Time (ns): ,601,,Fuzzy Time (ns): ,545652
Finite Time (ns): ,600,,Fuzzy Time (ns): ,751474
Finite Time (ns): ,1202,,Fuzzy Time (ns): ,543549
Finite Time (ns): ,1202,,Fuzzy Time (ns): ,759887
Finite Time (ns): ,601,,Fuzzy Time (ns): ,935060
Finite Time (ns): ,901,,Fuzzy Time (ns): ,510798
Finite Time (ns): ,601,,Fuzzy Time (ns): ,609352
Finite Time (ns): ,601,,Fuzzy Time (ns): ,582910
Finite Time (ns): ,902,,Fuzzy Time (ns): ,615361
Finite Time (ns): ,601,,Fuzzy Time (ns): ,555868
Finite Time (ns): ,902,,Fuzzy Time (ns): ,656525
Finite Time (ns): ,601,,Fuzzy Time (ns): ,668544
Finite Time (ns): ,601,,Fuzzy Time (ns): ,615060
Finite Time (ns): ,601,,Fuzzy Time (ns): ,613859
Finite Time (ns): ,601,,Fuzzy Time (ns): ,574798
Finite Time (ns): ,601,,Fuzzy Time (ns): ,589821
Finite Time (ns): ,901,,Fuzzy Time (ns): ,543849
Finite Time (ns): ,902,,Fuzzy Time (ns): ,650215
Finite Time (ns): ,301,,Fuzzy Time (ns): ,621070
Finite Time (ns): ,901,,Fuzzy Time (ns): ,612957
Finite Time (ns): ,901,,Fuzzy Time (ns): ,625577
Finite Time (ns): ,601,,Fuzzy Time (ns): ,584112
Finite Time (ns): ,601,,Fuzzy Time (ns): ,834403
Finite Time (ns): ,601,,Fuzzy Time (ns): ,616262
Finite Time (ns): ,301,,Fuzzy Time (ns): ,633089
Finite Time (ns): ,301,,Fuzzy Time (ns): ,534535
Finite Time (ns): ,601,,Fuzzy Time (ns): ,554967
Finite Time (ns): ,601,,Fuzzy Time (ns): ,588018
Finite Time (ns): ,601,,Fuzzy Time (ns): ,560976
Finite Time (ns): ,601,,Fuzzy Time (ns): ,567886
Finite Time (ns): ,301,,Fuzzy Time (ns): ,631286
Finite Time (ns): ,601,,Fuzzy Time (ns): ,595230
Finite Time (ns): ,601,,Fuzzy Time (ns): ,664338
Finite Time (ns): ,601,,Fuzzy Time (ns): ,616563
Finite Time (ns): ,902,,Fuzzy Time (ns): ,599436
Finite Time (ns): ,901,,Fuzzy Time (ns): ,513802
Finite Time (ns): ,601,,Fuzzy Time (ns): ,650215
Finite Time (ns): ,601,,Fuzzy Time (ns): ,563379
Finite Time (ns): ,301,,Fuzzy Time (ns): ,329615
Finite Time (ns): ,1202,,Fuzzy Time (ns): ,640901
Finite Time (ns): ,301,,Fuzzy Time (ns): ,514403
Finite Time (ns): ,902,,Fuzzy Time (ns): ,472337
Finite Time (ns): ,601,,Fuzzy Time (ns): ,339830
Finite Time (ns): ,601,,Fuzzy Time (ns): ,493371
Finite Time (ns): ,601,,Fuzzy Time (ns): ,360563
Finite Time (ns): ,901,,Fuzzy Time (ns): ,610553
Finite Time (ns): ,15624,,Fuzzy Time (ns): ,503286
Finite Time (ns): ,301,,Fuzzy Time (ns): ,319098
Finite Time (ns): ,601,,Fuzzy Time (ns): ,328413
Finite Time (ns): ,601,,Fuzzy Time (ns): ,324808
Finite Time (ns): ,601,,Fuzzy Time (ns): ,335023
Finite Time (ns): ,601,,Fuzzy Time (ns): ,356657
Finite Time (ns): ,601,,Fuzzy Time (ns): ,313089
Finite Time (ns): ,601,,Fuzzy Time (ns): ,332919
Finite Time (ns): ,601,,Fuzzy Time (ns): ,289952
Finite Time (ns): ,601,,Fuzzy Time (ns): ,361765
Finite Time (ns): ,600,,Fuzzy Time (ns): ,342235
Finite Time (ns): ,601,,Fuzzy Time (ns): ,578703
Finite Time (ns): ,601,,Fuzzy Time (ns): ,331718
Finite Time (ns): ,902,,Fuzzy Time (ns): ,384300
Finite Time (ns): ,601,,Fuzzy Time (ns): ,350347
Finite Time (ns): ,901,,Fuzzy Time (ns): ,274028
Finite Time (ns): ,601,,Fuzzy Time (ns): ,359060
Finite Time (ns): ,601,,Fuzzy Time (ns): ,366873
Finite Time (ns): ,601,,Fuzzy Time (ns): ,387906
Finite Time (ns): ,601,,Fuzzy Time (ns): ,323906
Finite Time (ns): ,601,,Fuzzy Time (ns): ,368976
Finite Time (ns): ,601,,Fuzzy Time (ns): ,387605
Finite Time (ns): ,601,,Fuzzy Time (ns): ,450403
Finite Time (ns): ,601,,Fuzzy Time (ns): ,341033
Finite Time (ns): ,301,,Fuzzy Time (ns): ,322103
Finite Time (ns): ,601,,Fuzzy Time (ns): ,380394
Finite Time (ns): ,300,,Fuzzy Time (ns): ,345239
Finite Time (ns): ,901,,Fuzzy Time (ns): ,416451
Finite Time (ns): ,601,,Fuzzy Time (ns): ,323606
Finite Time (ns): ,901,,Fuzzy Time (ns): ,322103
Finite Time (ns): ,901,,Fuzzy Time (ns): ,356057
Finite Time (ns): ,1202,,Fuzzy Time (ns): ,414948
Finite Time (ns): ,601,,Fuzzy Time (ns): ,531831
Finite Time (ns): ,601,,Fuzzy Time (ns): ,528526
Finite Time (ns): ,601,,Fuzzy Time (ns): ,686873
Finite Time (ns): ,300,,Fuzzy Time (ns): ,453709
Finite Time (ns): ,1202,,Fuzzy Time (ns): ,581408
Finite Time (ns): ,301,,Fuzzy Time (ns): ,616262
Finite Time (ns): ,601,,Fuzzy Time (ns): ,670046
Finite Time (ns): ,601,,Fuzzy Time (ns): ,583811
Finite Time (ns): ,300,,Fuzzy Time (ns): ,631586
Finite Time (ns): ,600,,Fuzzy Time (ns): ,621971
Finite Time (ns): ,301,,Fuzzy Time (ns): ,623173
Finite Time (ns): ,601,,Fuzzy Time (ns): ,559473
Finite Time (ns): ,901,,Fuzzy Time (ns): ,682366
Finite Time (ns): ,902,,Fuzzy Time (ns): ,592825
Finite Time (ns): ,601,,Fuzzy Time (ns): ,566985
Finite Time (ns): ,601,,Fuzzy Time (ns): ,522516
Finite Time (ns): ,601,,Fuzzy Time (ns): ,684168
Finite Time (ns): ,902,,Fuzzy Time (ns): ,747567
Finite Time (ns): ,601,,Fuzzy Time (ns): ,682365
Finite Time (ns): ,601,,Fuzzy Time (ns): ,653521
Finite Time (ns): ,601,,Fuzzy Time (ns): ,638497
Finite Time (ns): ,600,,Fuzzy Time (ns): ,706404
Finite Time (ns): ,601,,Fuzzy Time (ns): ,581408
Finite Time (ns): ,14122,,Fuzzy Time (ns): ,645408
Finite Time (ns): ,601,,Fuzzy Time (ns): ,720826
Finite Time (ns): ,601,,Fuzzy Time (ns): ,582911
Finite Time (ns): ,601,,Fuzzy Time (ns): ,596131
Finite Time (ns): ,601,,Fuzzy Time (ns): ,695886
Finite Time (ns): ,301,,Fuzzy Time (ns): ,649013
Finite Time (ns): ,601,,Fuzzy Time (ns): ,714516
Finite Time (ns): ,601,,Fuzzy Time (ns): ,661332
Finite Time (ns): ,601,,Fuzzy Time (ns): ,625277
Finite Time (ns): ,601,,Fuzzy Time (ns): ,296563
Finite Time (ns): ,601,,Fuzzy Time (ns): ,482253
Finite Time (ns): ,901,,Fuzzy Time (ns): ,329315
Finite Time (ns): ,901,,Fuzzy Time (ns): ,706403
Finite Time (ns): ,301,,Fuzzy Time (ns): ,361765
Finite Time (ns): ,601,,Fuzzy Time (ns): ,313690
Finite Time (ns): ,301,,Fuzzy Time (ns): ,367774
Finite Time (ns): ,300,,Fuzzy Time (ns): ,380093
Finite Time (ns): ,301,,Fuzzy Time (ns): ,322403
Finite Time (ns): ,300,,Fuzzy Time (ns): ,358159
Finite Time (ns): ,601,,Fuzzy Time (ns): ,385202
Finite Time (ns): ,601,,Fuzzy Time (ns): ,352751
Finite Time (ns): ,301,,Fuzzy Time (ns): ,452206
Finite Time (ns): ,300,,Fuzzy Time (ns): ,370478
Finite Time (ns): ,601,,Fuzzy Time (ns): ,398422
Finite Time (ns): ,601,,Fuzzy Time (ns): ,290253
Finite Time (ns): ,901,,Fuzzy Time (ns): ,424263
Finite Time (ns): ,601,,Fuzzy Time (ns): ,433878
Finite Time (ns): ,300,,Fuzzy Time (ns): ,399024
Finite Time (ns): ,601,,Fuzzy Time (ns): ,492470
Finite Time (ns): ,300,,Fuzzy Time (ns): ,356657
Finite Time (ns): ,601,,Fuzzy Time (ns): ,329915
Finite Time (ns): ,300,,Fuzzy Time (ns): ,351248
Finite Time (ns): ,301,,Fuzzy Time (ns): ,345840
Finite Time (ns): ,601,,Fuzzy Time (ns): ,388807
Finite Time (ns): ,601,,Fuzzy Time (ns): ,470234
Finite Time (ns): ,601,,Fuzzy Time (ns): ,493070
Finite Time (ns): ,301,,Fuzzy Time (ns): ,367474
Finite Time (ns): ,601,,Fuzzy Time (ns): ,248188
Finite Time (ns): ,601,,Fuzzy Time (ns): ,331418
Finite Time (ns): ,902,,Fuzzy Time (ns): ,442892
Finite Time (ns): ,601,,Fuzzy Time (ns): ,587117
Finite Time (ns): ,301,,Fuzzy Time (ns): ,238272
Finite Time (ns): ,601,,Fuzzy Time (ns): ,377690
Finite Time (ns): ,601,,Fuzzy Time (ns): ,387906
Finite Time (ns): ,601,,Fuzzy Time (ns): ,290854
Finite Time (ns): ,601,,Fuzzy Time (ns): ,351549
Finite Time (ns): ,601,,Fuzzy Time (ns): ,382497
Finite Time (ns): ,601,,Fuzzy Time (ns): ,326310
Finite Time (ns): ,300,,Fuzzy Time (ns): ,368675
Finite Time (ns): ,601,,Fuzzy Time (ns): ,263512
Finite Time (ns): ,902,,Fuzzy Time (ns): ,459717
Finite Time (ns): ,601,,Fuzzy Time (ns): ,427868
Finite Time (ns): ,901,,Fuzzy Time (ns): ,532732
Finite Time (ns): ,601,,Fuzzy Time (ns): ,645408
Finite Time (ns): ,601,,Fuzzy Time (ns): ,761089
Finite Time (ns): ,901,,Fuzzy Time (ns): ,691079
Finite Time (ns): ,300,,Fuzzy Time (ns): ,623173
Finite Time (ns): ,601,,Fuzzy Time (ns): ,662835
Finite Time (ns): ,902,,Fuzzy Time (ns): ,852130
Finite Time (ns): ,601,,Fuzzy Time (ns): ,752976
Finite Time (ns): ,601,,Fuzzy Time (ns): ,685070
Finite Time (ns): ,601,,Fuzzy Time (ns): ,661033
Finite Time (ns): ,601,,Fuzzy Time (ns): ,703399
Finite Time (ns): ,601,,Fuzzy Time (ns): ,761990
Finite Time (ns): ,300,,Fuzzy Time (ns): ,656826
Finite Time (ns): ,601,,Fuzzy Time (ns): ,610854
Finite Time (ns): ,601,,Fuzzy Time (ns): ,647511
Finite Time (ns): ,601,,Fuzzy Time (ns): ,603342
Finite Time (ns): ,601,,Fuzzy Time (ns): ,616563
Finite Time (ns): ,301,,Fuzzy Time (ns): ,608751
Finite Time (ns): ,14122,,Fuzzy Time (ns): ,607849
Finite Time (ns): ,601,,Fuzzy Time (ns): ,661633
Finite Time (ns): ,601,,Fuzzy Time (ns): ,539042
Finite Time (ns): ,902,,Fuzzy Time (ns): ,694985
Finite Time (ns): ,301,,Fuzzy Time (ns): ,510798
Finite Time (ns): ,601,,Fuzzy Time (ns): ,590422
Finite Time (ns): ,601,,Fuzzy Time (ns): ,678159
Finite Time (ns): ,301,,Fuzzy Time (ns): ,700093
Finite Time (ns): ,300,,Fuzzy Time (ns): ,322704
Finite Time (ns): ,601,,Fuzzy Time (ns): ,492770
Finite Time (ns): ,1803,,Fuzzy Time (ns): ,939267
Finite Time (ns): ,902,,Fuzzy Time (ns): ,523418
Finite Time (ns): ,601,,Fuzzy Time (ns): ,298366
Finite Time (ns): ,601,,Fuzzy Time (ns): ,358159
Finite Time (ns): ,300,,Fuzzy Time (ns): ,340732
Finite Time (ns): ,601,,Fuzzy Time (ns): ,347643
Finite Time (ns): ,601,,Fuzzy Time (ns): ,355155
Finite Time (ns): ,600,,Fuzzy Time (ns): ,331718
Finite Time (ns): ,300,,Fuzzy Time (ns): ,340432
Finite Time (ns): ,601,,Fuzzy Time (ns): ,347643
Finite Time (ns): ,601,,Fuzzy Time (ns): ,279136
Finite Time (ns): ,601,,Fuzzy Time (ns): ,360864
Finite Time (ns): ,15323,,Fuzzy Time (ns): ,309183
Finite Time (ns): ,13521,,Fuzzy Time (ns): ,326309
Finite Time (ns): ,601,,Fuzzy Time (ns): ,392112
Finite Time (ns): ,301,,Fuzzy Time (ns): ,338929
Finite Time (ns): ,601,,Fuzzy Time (ns): ,499680
Finite Time (ns): ,902,,Fuzzy Time (ns): ,478948
Finite Time (ns): ,901,,Fuzzy Time (ns): ,328113
Finite Time (ns): ,601,,Fuzzy Time (ns): ,413145
Finite Time (ns): ,601,,Fuzzy Time (ns): ,371380
Finite Time (ns): ,300,,Fuzzy Time (ns): ,281239
Finite Time (ns): ,901,,Fuzzy Time (ns): ,354854
Finite Time (ns): ,601,,Fuzzy Time (ns): ,341633
Finite Time (ns): ,901,,Fuzzy Time (ns): ,323906
Finite Time (ns): ,300,,Fuzzy Time (ns): ,522516
Finite Time (ns): ,601,,Fuzzy Time (ns): ,327211
Finite Time (ns): ,601,,Fuzzy Time (ns): ,344939
Finite Time (ns): ,600,,Fuzzy Time (ns): ,397521
Finite Time (ns): ,300,,Fuzzy Time (ns): ,349445
Finite Time (ns): ,601,,Fuzzy Time (ns): ,419755
Finite Time (ns): ,601,,Fuzzy Time (ns): ,251793
Finite Time (ns): ,901,,Fuzzy Time (ns): ,356356
Finite Time (ns): ,601,,Fuzzy Time (ns): ,655925
Finite Time (ns): ,601,,Fuzzy Time (ns): ,378291
Finite Time (ns): ,301,,Fuzzy Time (ns): ,394516
Finite Time (ns): ,601,,Fuzzy Time (ns): ,352150
Finite Time (ns): ,601,,Fuzzy Time (ns): ,352751
Finite Time (ns): ,601,,Fuzzy Time (ns): ,378591
Finite Time (ns): ,601,,Fuzzy Time (ns): ,412845
Finite Time (ns): ,301,,Fuzzy Time (ns): ,675756
Finite Time (ns): ,300,,Fuzzy Time (ns): ,566384
Finite Time (ns): ,901,,Fuzzy Time (ns): ,660732
Finite Time (ns): ,601,,Fuzzy Time (ns): ,659830
Finite Time (ns): ,902,,Fuzzy Time (ns): ,572995
Finite Time (ns): ,601,,Fuzzy Time (ns): ,643304
Finite Time (ns): ,300,,Fuzzy Time (ns): ,607849
Finite Time (ns): ,601,,Fuzzy Time (ns): ,646008
Finite Time (ns): ,601,,Fuzzy Time (ns): ,646610
Finite Time (ns): ,300,,Fuzzy Time (ns): ,619568
Finite Time (ns): ,601,,Fuzzy Time (ns): ,607850
Finite Time (ns): ,901,,Fuzzy Time (ns): ,627981
Finite Time (ns): ,600,,Fuzzy Time (ns): ,663436
Finite Time (ns): ,601,,Fuzzy Time (ns): ,705501
Finite Time (ns): ,601,,Fuzzy Time (ns): ,615060
Finite Time (ns): ,301,,Fuzzy Time (ns): ,530929
Finite Time (ns): ,601,,Fuzzy Time (ns): ,608150
Finite Time (ns): ,300,,Fuzzy Time (ns): ,628281
Finite Time (ns): ,301,,Fuzzy Time (ns): ,620469
Finite Time (ns): ,300,,Fuzzy Time (ns): ,582310
Finite Time (ns): ,300,,Fuzzy Time (ns): ,649314
Finite Time (ns): ,300,,Fuzzy Time (ns): ,658628
Finite Time (ns): ,300,,Fuzzy Time (ns): ,335624
Finite Time (ns): ,300,,Fuzzy Time (ns): ,544750
